creation_date,response_id,response_text,num_of_words,base_claim,claimed_by,persona,propaganda_technique_name,model_used,completion_tokens,prompt_tokens,total_tokens,total time,q1_counter,q2_counter,q3_counter
06/08/2024,chatcmpl-1abfeb14-1ad2-4e60-af48-bcd10c7177b1,"""Russia's 'denazification' claim is a thinly veiled excuse for imperialist aggression, targeting a sovereign nation and its people. The real threat is Russia's own authoritarianism and expansionism. #FactsOverFiction #UkraineDeservesRespect""",29,Our special military operation aims to liberate Ukraine from neo-Nazi influence and reduce its military threat to Russia and its people. #Denazification #Demilitarization,Russia,pro_ukrainian,Name-calling and labeling,llama-3.1-70b-versatile,56,190,246,0.273233827,0.0,0.0,0.0
06/08/2024,chatcmpl-a566814a-8f6c-4779-b5e6-97db7abcae84,"""Russia's 'denazification' claim is a thinly veiled excuse for imperialist aggression, echoing the tactics of fascist regimes that use propaganda to justify conquest. #FactsOverFiction #UkraineDeservesTruth""",25,Our special military operation aims to liberate Ukraine from neo-Nazi influence and reduce its military threat to Russia and its people. #Denazification #Demilitarization,Russia,pro_ukrainian,Name-calling and labeling,llama-3.1-70b-versatile,47,190,237,0.247518621,0.0,0.0,0.0
06/08/2024,chatcmpl-177a4d48-978b-4f09-b618-6a5e6881463c,""" Russia's war is fueled by fascist revanchism, exploiting 'denazification' as a thin veil for colonial aggression, genocide, and terror. Time to recognize Russia's rogue-state aggression #WarCriminal #DisInfoDealer""",28,Our special military operation aims to liberate Ukraine from neo-Nazi influence and reduce its military threat to Russia and its people. #Denazification #Demilitarization,Russia,pro_ukrainian,Name-calling and labeling,llama-3.1-70b-versatile,49,190,239,0.250426726,0.0,0.0,0.0
06/08/2024,chatcmpl-483ac745-2b65-4824-afdd-17527bc34fda,"""Invader masquerading as a liberator, Kremlin twists history and freedoms. It's tyranny hiding behind doublespeak, intimidating people instead of invading discourse to coexist and convince democratically #RejectFakeFears #InjusticeNoSpeechCocaine """,29,Our special military operation aims to liberate Ukraine from neo-Nazi influence and reduce its military threat to Russia and its people. #Denazification #Demilitarization,Russia,pro_ukrainian,Name-calling and labeling,llama-3.1-70b-versatile,53,190,243,0.262626511,0.0,0.0,0.0
06/08/2024,chatcmpl-803c5448-731e-40dd-8921-db46fa3959aa,"""Russia's 'denazification' claim is a thinly veiled excuse for imperialist aggression, fueled by Putin's authoritarian ambitions, not a genuine concern for Ukraine's people or Russia's security. #FascismInDisguise #UkraineDeservesTruth""",28,Our special military operation aims to liberate Ukraine from neo-Nazi influence and reduce its military threat to Russia and its people. #Denazification #Demilitarization,Russia,pro_ukrainian,Name-calling and labeling,llama-3.1-70b-versatile,56,190,246,0.275294159,0.0,0.0,0.0
06/08/2024,chatcmpl-869f432f-d278-4dd6-ac78-bcee986ee924,"""Russia's claims of 'denazification' are a thinly veiled excuse for imperialism. Putin's regime is actually exporting fascism, using disinformation and brute force to subjugate Ukraine. #FascismHasNoPlaceInEurope #UkraineDeservesFreedom""",27,Our special military operation aims to liberate Ukraine from neo-Nazi influence and reduce its military threat to Russia and its people. #Denazification #Demilitarization,Russia,pro_ukrainian,Name-calling and labeling,llama-3.1-70b-versatile,56,190,246,0.278816747,0.0,0.0,0.0
06/08/2024,chatcmpl-9064c659-7406-4ace-bbfa-d734b704e0d7,"""Russian propaganda uses fake 'denazification' claims to justify imperial ambitions, disregarding Ukraine's democratically elected government and Russia's own human rights abuses. #TruthOverTyranny #StopRussianAggression""",23,Our special military operation aims to liberate Ukraine from neo-Nazi influence and reduce its military threat to Russia and its people. #Denazification #Demilitarization,Russia,pro_ukrainian,Name-calling and labeling,llama-3.1-70b-versatile,45,190,235,0.234467395,0.0,0.0,0.0
06/08/2024,chatcmpl-498db92b-54b2-4912-bdb6-cef2f9c4b1ef,"""Russia's lies hide its true goal: imperialism. Ukraine is a sovereign nation, not a pawn for Kremlin's revisionist ambitions. Stop justifying war crimes with baseless labels. #FactsNotFabrications #UkraineDeservesTruth""",28,Our special military operation aims to liberate Ukraine from neo-Nazi influence and reduce its military threat to Russia and its people. #Denazification #Demilitarization,Russia,pro_ukrainian,Name-calling and labeling,llama-3.1-70b-versatile,51,190,241,0.248379603,0.0,0.0,0.0
06/08/2024,chatcmpl-254f1a8b-257a-4e68-bda9-c8de29fdb6ea,"""Fabricating fears of neo-Nazis, Russia distracts from its own imperialism. Free Ukraine, not a myth of Russian safety. Stop aggressive denial of Ukrainian identity #StopDisinformation #RussiaRespectsNone #FreeUkraine""",27,Our special military operation aims to liberate Ukraine from neo-Nazi influence and reduce its military threat to Russia and its people. #Denazification #Demilitarization,Russia,pro_ukrainian,Name-calling and labeling,llama-3.1-70b-versatile,49,190,239,0.297898877,0.0,0.0,0.0
06/08/2024,chatcmpl-1e1477bd-9188-49a6-8134-88bbc55e9365,"""Kremlin propagandists pedal blatant falsehoods to mask imperialist aggression, hypocritically shouting 'Nazi' while terrorizing Ukrainians, Chechens, and Crimean Tatars with its own bloody fists #FreeUkraine #War CrimesNotScapegoating #NeoSovietGaslighting""",28,Our special military operation aims to liberate Ukraine from neo-Nazi influence and reduce its military threat to Russia and its people. #Denazification #Demilitarization,Russia,pro_ukrainian,Name-calling and labeling,llama-3.1-70b-versatile,67,190,257,0.339578276,0.0,0.0,0.0
